N,rad_odd_M,num_goldbach,rho_min,rho_mean,rho_max,BW_goldbach
1024,1,22,2.316146,3.291418,3.599911,1.283765
1026,57,42,4.795345,5.716054,5.932502,1.137157
1028,257,18,5.759635,6.557736,6.799878,1.040243
1030,515,25,6.288545,6.991869,7.200635,0.912090
1032,129,36,5.489368,6.212970,6.401741,0.912374
1034,517,21,5.916272,6.951838,7.200148,1.283877
1036,259,27,5.516968,6.542887,6.800376,1.283408
1038,519,40,6.062869,6.955910,7.200725,1.137856
1040,65,26,4.961844,5.818676,6.003994,1.042149
1042,521,22,5.916371,6.927396,7.202006,1.285635
1044,87,39,5.031717,5.935316,6.171118,1.139400
1046,523,19,6.159046,6.975943,7.202446,1.043400
1048,131,19,5.614064,6.227881,6.404187,0.790123
1050,105,57,5.362383,6.079589,6.277193,0.914810
1052,263,18,5.518044,6.509719,6.796680,1.278635
1054,527,24,5.916518,6.932392,7.201975,1.285457
1056,33,44,4.469809,5.390473,5.610235,1.140426
1058,23,19,4.357869,5.173660,5.400998,1.043129
1060,265,27,5.889428,6.607614,6.805206,0.915778
1062,177,37,5.656702,6.360663,6.573412,0.916710
1064,133,24,5.121037,6.174853,6.408714,1.287678
1066,533,24,5.916663,6.948275,7.204030,1.287368
1068,267,39,5.665065,6.566150,6.807070,1.142005
1070,535,25,6.158572,6.981036,7.204895,1.046323
1072,67,21,4.724613,5.733341,6.012403,1.287790
1074,537,40,6.062609,6.981111,7.204314,1.141705
1076,269,20,5.761294,6.550881,6.807005,1.045712
1078,77,27,5.295190,5.914037,6.090890,0.795701
1080,15,54,4.234524,4.950653,5.153609,0.919085
1082,541,20,6.333946,6.980423,7.206309,0.872363
1084,271,21,6.097722,6.632533,6.809348,0.711626
1086,543,39,6.409467,7.026149,7.206339,0.796872
1088,17,18,4.457989,5.037404,5.224269,0.766280
1090,545,26,5.916946,7.001121,7.206590,1.289644
1092,273,48,5.666158,6.603411,6.810521,1.144363
1094,547,23,5.916992,6.945739,7.207560,1.290568
1096,137,18,5.124782,6.165964,6.414082,1.289300
1098,183,40,5.434773,6.349158,6.580245,1.145472
1100,55,28,4.601874,5.626595,5.892303,1.290428
1102,551,24,6.062412,6.978453,7.206720,1.144308
1104,69,44,4.970805,5.801280,6.021448,1.050644
1106,553,25,5.917130,6.947519,7.206059,1.288929
1108,277,25,5.666870,6.582765,6.812481,1.145612
1110,555,54,6.157810,7.002369,7.209141,1.051332
1112,139,16,5.126601,6.131290,6.418599,1.291998
1114,557,23,6.062330,6.936918,7.209606,1.147276
1116,93,41,5.136390,5.973273,6.188389,1.051999
1118,559,22,6.575435,7.056143,7.209878,0.634444
